Release Clause Score,50,
Offered Role Equal,25,
Offered Role Greater,35,
Offered Role Lower ,0,
Another Club Accepted,-100,
Another Club Pending,-50,
Free Agent Points,50,
,,
Team Overall >=,Score,
81,100,
73,50,
69,45,
65,40,
60,30,
1,20,
,,
League Rank,Score,
0,90,
1,60,
2,40,
3,25,
4,0,
,,
Current Contract Years,Score,
0,100,
1,50,
2,25,
3,0,
4,-25,
5,-50,
,,
Offered Contract Years,Score,
0,0,
1,15,
2,20,
3,20,
4,25,
5,25,
,,
Time At Club,Score,
6,-100,
12,25,
24,10,
36,0,
48,-25,
60,-100,
,,
Preferred Position Available,Score,Comment
0,-100,Fallback Case
1,50,Player first preffered position found
2,0,
3,-10,
4,-20,
