Release Clause Score,25,
Offered Role Equal,10,
Offered Role Greater,35,
Offered Role Lower ,-20,
Another Club Accepted,-100,
Another Club Pending,-60,
Free Agent Points,25,
,,
Team Overall >=,Score,
83,75,
75,27,
69,22,
65,26,
60,40,
1,50,
,,
League Rank,Score,
0,50,
1,15,
2,10,
3,0,
4,-10,
,,
Current Contract Years,Score,
0,50,
1,25,
2,0,
3,-25,
4,-50,
5,-75,
,,
Offered Contract Years,Score,
0,0,
1,15,
2,20,
3,20,
4,25,
5,25,
,,
Time At Club,Score,
6,-200,
11,-100,
24,0,
36,25,
48,75,
60,100,
,,
Preferred Position Available,Score,Comment
0,-100,Fallback Case
1,25,Player first preffered position found
2,-10,
3,-20,
4,-25,
